seed	result	minutes	errors	batch	job	artifacts
1	win	26.2		438deed1a36ad69910961ada	3f865518080a49af22f226d994df9b92	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s1
2	loss	35.0		2fe4093da3ccbfea9ec1dc2e	9cfbcebc4a1117fd4ecbc5b980944a7b	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s2
3	timeout	45.0		98ee86cfece117217bbd82e9	68652a55001ab0a63fcad5b0e18fa4db	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s3
4	timeout	45.0		277a75e4f1c8a78681748edc	1e29a14bf8cb953f8d53566d0fdb7752	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s4
5	win	32.4		30cbfc64c1c3cdaa3fe66970	f79d874c6c2ce5b57c375c423a4a1271	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s5
6	timeout	45.0		5b849c8aac4cf1af2116e7e5	a7c0eaf848769221684fc9a96cd00066	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s6
7	timeout	45.0		5cc9fa7cd467b2bb2e4c82af	36293a2f0025a405ce0a2219deda16de	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s7
8	win	38.1		aae69c7a83addd3ad3423238	9b1a9d9394f53f62cccf92c116a43469	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s8
9	timeout	45.0		1d78e9e56189630fde6f58ec	08e87193ff48fc0427f788665c61726c	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s9
10	win	23.1		fdc167f19746737e98f4e1f8	bfd6fedc766624317a68b320f271db0f	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s10
11	timeout	45.0		5c6155f2b73a67dd169694f1	4affd89e131943f46ef7c475885c70b5	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s11
12	win	42.6		f77f96722054f7a1e9ce7083	a36a5f9a440b01e4cf0f6ad1e20f8070	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s12
13	win	22.7		3dd71ae7d7380016e702eeb9	5a07eccb9c3bc51edd9a5808b033947c	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s13
14	win	26.4		9c3f48780a08836e69b14ba8	f8c341a1833c3ae0f46220544a26e744	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s14
15	timeout	45.0		9609edb0d5107ca167c74f6d	0961258b65ff5255b988acb26d17e3ab	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s15
16	win	34.5		c08744288caf9bb85152b0f1	812c13487a70c782859513b67814900c	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s16
17	timeout	45.0		9d80f421040bd5fbafd55edf	5971b4faf6a8258e4108026909f470ea	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s17
18	timeout	45.0		696d51a43a62c90e2a33ccbb	d6275cb24a78032f1102aa950e6eea0a	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s18
19	timeout	45.0		b8a3062cc599f226dbc1805f	b843a376b61cbf0db525c35a87d6016d	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s19
20	timeout	45.0		54dcc77fa467cc1443081f8f	dbce9618280f514eb5d65652dcc4df02	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s20
21	loss	29.2		d35c2131d84f5e8ff60f11f4	47655f4dbeb4e9915b3c90339c35eecf	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s21
22	timeout	45.0		0e0feebb46f1db6cd8f4b540	933f2011d5989dc783f85b384bf9b441	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s22
23	timeout	45.0		3701874fcbbf48e80ff48e87	5cc7db88ae1ee87cfddc32baae7063cf	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s23
24	win	23.9		78013c3553ab17ef7d7cb715	ff48408f3fbc25da5d37a8cfe563166b	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s24
25	win	31.7		c8ff39fd0e1e451bf38ec0fc	7e3cf767e7e968b2e141cacf13df8f7e	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s25
26	win	23.9		bc853c08353db1d34031f177	138f422506345377b016daed0aade16a	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s26
27	timeout	45.0		a93f5dbdafc16cf03fab4cdb	62700a820cfd61ad5bb7e990bfd89601	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s27
28	timeout	45.0		5f8f57c9e7732d9f01c7507c	413214e66e138dbd4d4a8b2f77396d78	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s28
29	win	41.1		a66b076d7637306369aef3b2	a12f4e9a604adfab4cb7610f71da61c0	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s29
30	win	31.4		dad231a6129b5923772e2d88	f1d7845a609dfc0eafccdc42e06219a2	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s30
31	timeout	45.0		6a2d2f76e2039dd08f24c0ee	e59dca2cb47d1f2d16cd4d7636b02cf3	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s31
32	win	32.0		31549d0726a8d1c23619571b	a776e62eacd6477b59db9a3a1b53c71c	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s32
33	timeout	45.0		1e217b4dae70f0669cd4461b	6418a3fc53b072cf50835c8aba0bfaaf	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s33
34	win	33.2		1b8a0263ba170a9e7a705c68	90aea7759467899fe5d1017ddd20c873	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s34
35	win	27.4		c9f7c93e8c4f9ecc41b2009c	2d31bcb79e0bc788e061ee94ea2c015e	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s35
36	win	36.2		c3972fc033bf8cfb6900cec0	ec1d4a2f3bcb82543ff04efd8d844317	/home/ubuntu/brennus/sweeps/2026-09-05-e02d97b/artifacts/s36
