seed	result	minutes	errors	batch	job	artifacts
1	win	36.8		dffc4239280c0302d600db21	fa949c4ca9ec8c43bce639335d766569	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s1
2	win	38.4		8088b32a3bd933a0aab348af	de84cbe891708ec300ef3f7514e48155	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s2
3	win	33.1		bbb277af1971698b929b2601	50dd60bbd757b47d1e87e7a9c8abcc9c	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s3
4	win	28.7		eec8937d55d124f39db7a6c1	bdbba3d7012f97bb967e2e8dedb4def3	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s4
5	win	36.7		858855160bc5073fe9b6355e	381b4b9a15c8aa7aec5390f531ba00ce	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s5
6	win	32.5		4d412de91882e190673e1647	62942b77c199f706d8c010fdd0a9a307	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s6
7	timeout	45.0		d797048fbd50f338e38247b7	9e07b100bdc852f921f503fdfc604123	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s7
8	timeout	45.0		6e8bf3ba96023e7504cf12bf	30f799c4f27f17815a26aef7cddc1bdf	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s8
9	win	32.0		fff72993e43ff6a6e85e0af9	f58436192efb5b0469d5205ef270771a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s9
10	win	29.9		434c6a1ffa57944ac8fefc72	0ceadb5dfdc7af95d0bb43780cc64a43	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s10
11	win	37.0		bd1cb775f9d173c4b9ddbb7d	7203df41bdf2cb108096debc9afadd10	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s11
12	win	44.0		749794f6f0717a18ce436b53	2b1f41a2ecffdf3aa9e7e2b7005afa6e	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s12
13	win	32.2		8ee06f9a53ebf51a8c3b1cb4	ad31f672995a875c37b80b8b2e7b020a	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s13
14	win	31.6		6c8547f8b6b6f154c088f6ab	f7514decdd468f94220975017dd145aa	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s14
15	win	38.9		b467b556b61f443d6ea54d4a	c9a26697c3d0b6a89eb46fe6b1ad1cc8	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s15
16	win	30.5		5a6936c2b3046b9375db8148	7dfb6788ddced07afa736d3c7264c8b0	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s16
17	timeout	45.0		b126e78641cadfb94d783635	dc90b15b4271b2740a210231d80e0ef2	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s17
18	win	40.0		b4fe569441f66051db0f04a1	79992fffcdf458cd806d81ad7ea5e815	/home/ubuntu/brennus/sweeps/2026-09-06-8ac30f0/artifacts/s18
