seed	result	game_min	js_errors
1	win	26.4	0
2	win	34.4	0
3	win	33.8	0
4	win	30.4	0
5	win	34.5	0
6	timeout	45.0	0
7	win	44.4	0
8	win	37.9	0
9	win	32.1	0
10	win	34.4	0
11	win	41.7	0
12	win	41.0	0
13	win	27.6	0
14	win	37.6	0
15	win	31.8	0
16	win	35.5	0
17	timeout	45.0	0
18	win	34.6	0
19	win	40.3	0
20	win	33.0	0
21	win	34.9	0
22	win	28.6	0
23	win	30.3	0
24	win	37.7	0
25	win	28.5	0
26	timeout	45.0	0
27	win	36.0	0
28	win	31.6	0
29	timeout	45.0	0
30	timeout	45.0	0
31	win	26.5	0
32	win	36.5	0
33	timeout	45.0	0
34	win	33.4	0
35	win	37.1	0
36	win	36.4	0
37	win	38.4	0
38	timeout	45.0	0
39	win	36.8	0
40	win	43.5	0
41	timeout	45.0	0
42	win	35.0	0
43	win	38.4	0
44	win	35.7	0
45	win	35.3	0
46	win	41.6	0
47	win	32.6	0
48	win	30.7	0
49	win	28.3	0
50	win	42.5	0
51	win	29.4	0
52	timeout	45.0	0
53	win	38.6	0
54	timeout	45.0	0
55	timeout	45.0	0
56	win	34.3	0
57	win	34.3	0
58	win	30.7	0
59	win	27.5	0
60	timeout	45.0	0
61	win	33.5	0
62	win	35.4	0
63	win	43.6	0
64	win	36.6	0
65	win	28.4	0
66	win	35.9	0
67	timeout	45.0	0
68	win	36.6	0
69	win	35.8	0
70	timeout	45.0	0
71	win	37.7	0
72	timeout	45.0	0
73	timeout	45.0	0
74	win	32.8	0
75	win	40.7	0
76	win	40.2	0
77	win	35.5	0
78	win	24.1	0
79	timeout	45.0	0
80	win	34.9	0
81	win	42.0	0
82	win	34.5	0
83	win	41.8	0
84	timeout	45.0	0
85	win	40.5	0
86	win	36.5	0
87	win	34.2	0
88	win	35.8	0
89	win	37.9	0
90	win	30.9	0
91	win	26.3	0
92	win	31.7	0
93	win	43.3	0
94	win	31.2	0
95	timeout	45.0	0
96	win	39.0	0
97	win	31.7	0
98	win	42.8	0
99	timeout	45.0	0
100	win	38.9	0
