seed	result	game_min	js_errors
1	win	41.8	0
2	win	41.4	0
3	win	37.8	0
4	win	32.7	0
5	win	30.9	0
6	win	41.5	0
7	win	33.6	0
8	win	33.2	0
9	win	29.5	0
10	win	31.8	0
11	win	40.0	0
12	win	37.0	0
13	timeout	45.0	0
14	win	29.2	0
15	win	30.8	0
16	win	31.4	0
17	win	33.0	0
18	win	35.7	0
19	win	41.9	0
20	win	41.1	0
21	win	32.8	0
22	win	30.9	0
23	win	43.8	0
24	timeout	45.0	0
25	win	33.0	0
26	win	35.2	0
27	win	42.1	0
28	win	33.2	0
29	win	31.9	0
30	timeout	45.0	0
31	win	29.0	0
32	win	32.1	0
33	win	39.9	0
34	win	35.1	0
35	win	38.8	0
36	win	38.6	0
37	win	36.5	0
38	win	28.2	0
39	win	34.5	0
40	win	40.8	0
41	win	38.4	0
42	win	31.4	0
43	win	23.1	0
44	win	31.6	0
45	win	40.5	0
46	win	33.5	0
47	timeout	45.0	0
48	win	35.1	0
49	win	40.9	0
50	win	29.4	0
51	win	40.0	0
52	timeout	45.0	0
53	win	30.8	0
54	win	35.8	0
55	timeout	45.0	0
56	win	37.5	0
57	win	32.3	0
58	win	28.0	0
59	win	31.7	0
60	win	36.0	0
61	win	33.2	0
62	win	44.1	0
63	win	28.2	0
64	win	41.5	0
65	win	39.7	0
66	win	35.1	0
67	win	28.4	0
68	win	31.9	0
69	win	39.1	0
70	loss	42.3	0
71	win	32.3	0
72	win	38.2	0
73	win	34.9	0
74	timeout	45.0	0
75	win	24.7	0
76	win	37.3	0
77	win	35.1	0
78	win	32.4	0
79	win	39.5	0
80	win	39.6	0
81	win	26.0	0
82	win	38.1	0
83	win	42.7	0
84	win	28.0	0
85	win	37.9	0
86	win	28.3	0
87	win	38.0	0
88	timeout	45.0	0
89	win	37.3	0
90	win	25.7	0
91	win	32.8	0
92	win	33.9	0
93	win	35.4	0
94	win	32.0	0
95	win	27.4	0
96	timeout	45.0	0
97	win	29.1	0
98	win	39.4	0
99	win	31.9	0
100	win	28.4	0
