seed	result	game_min	js_errors
1	win	29.5	0
2	win	36.3	0
3	win	36.8	0
4	win	28.3	0
5	timeout	45.0	0
6	win	33.0	0
7	timeout	45.0	0
8	win	38.5	0
9	win	29.2	0
10	win	30.2	0
11	win	43.5	0
12	win	40.0	0
13	timeout	45.0	0
14	win	35.5	0
15	win	41.4	0
16	win	40.5	0
17	loss	38.5	0
18	win	33.4	0
19	win	32.8	0
20	win	33.0	0
21	win	33.8	0
22	win	37.8	0
23	win	34.5	0
24	timeout	45.0	0
25	win	38.6	0
26	timeout	45.0	0
27	win	39.6	0
28	win	29.3	0
29	win	32.9	0
30	win	42.0	0
31	win	26.2	0
32	win	31.7	0
33	timeout	45.0	0
34	win	32.2	0
35	win	41.4	0
36	win	35.4	0
37	win	37.4	0
38	timeout	45.0	0
39	win	36.7	0
40	win	34.8	0
41	win	39.1	0
42	win	35.5	0
43	win	34.7	0
44	win	28.3	0
45	timeout	45.0	0
46	win	40.2	0
47	win	31.5	0
48	win	41.4	0
49	win	29.0	0
50	win	38.1	0
51	win	28.3	0
52	timeout	45.0	0
53	win	39.4	0
54	win	39.7	0
55	timeout	45.0	0
56	win	43.7	0
57	win	34.0	0
58	win	32.2	0
59	win	33.8	0
60	timeout	45.0	0
61	win	26.1	0
62	win	37.1	0
63	timeout	45.0	0
64	win	33.9	0
65	win	30.3	0
66	win	39.7	0
67	timeout	45.0	0
68	win	34.6	0
69	win	37.6	0
70	timeout	45.0	0
71	timeout	45.0	0
72	timeout	45.0	0
73	win	40.4	0
74	win	36.5	0
75	win	37.2	0
76	win	35.5	0
77	win	29.0	0
78	win	29.7	0
79	timeout	45.0	0
80	timeout	45.0	0
81	win	42.5	0
82	win	35.3	0
83	timeout	45.0	0
84	win	44.1	0
85	win	34.8	0
86	win	36.7	0
87	win	33.6	0
88	win	36.7	0
89	win	38.1	0
90	win	40.1	0
91	win	25.1	0
92	win	34.7	0
93	win	41.7	0
94	timeout	45.0	0
95	win	35.7	0
96	win	37.6	0
97	win	39.1	0
98	win	32.7	0
99	win	44.9	0
100	win	30.1	0
