seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	hero	champ
1	win	43.5	0	0	1	300	0	0	0	1	0	0	0	11	0	12	0	0	35
2	win	36.3	0	0	1	300	0	0	0	1	1	6	0	3	4	10	0	2	21
3	win	33.4	0	0	1	300	0	0	0	0	0	0	0	3	0	4	0	0	0
4	win	33.0	0	0	1	300	1	1	0	1	1	3	0	16	1	18	0	1	43
5	win	30.3	0	0	1	300	0	0	0	1	1	0	0	0	2	4	0	0	0
6	win	33.9	0	0	1	300	0	0	0	1	1	2	0	6	0	16	0	1	7
7	win	31.0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
8	win	35.0	0	0	1	300	0	1	0	1	1	3	0	9	0	17	0	1	23
9	win	30.6	0	0	1	300	1	1	0	1	1	2	0	4	0	13	0	1	2
10	win	25.2	0	0	1	300	0	0	0	1	1	2	0	2	0	9	0	1	2
11	win	35.6	0	0	1	300	0	0	0	0	0	0	0	1	1	14	0	0	0
12	win	36.6	0	0	1	300	0	1	0	1	1	2	0	8	0	16	0	1	22
13	win	38.2	0	0	1	300	1	1	0	1	1	2	0	1	1	17	0	1	47
14	win	30.6	0	0	1	300	0	0	0	1	1	2	0	3	3	8	0	1	32
15	win	31.8	0	0	1	300	0	1	1	1	1	3	0	1	1	15	0	1	8
16	win	28.9	0	0	1	300	0	0	0	1	1	0	0	1	1	7	0	0	25
17	win	36.3	0	0	1	300	1	3	0	1	1	2	0	18	4	20	0	1	22
18	win	38.6	0	0	1	300	1	2	0	1	1	4	0	15	6	17	0	2	9
19	win	31.7	0	0	1	300	0	1	0	1	1	2	0	8	0	11	0	1	20
20	win	36.0	0	0	1	300	0	1	1	1	1	2	0	6	4	19	0	1	26
21	win	32.0	0	0	1	300	0	1	0	1	1	0	0	7	0	15	0	0	5
22	win	28.7	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	1	20
23	win	33.6	0	0	1	300	0	2	0	1	1	2	0	10	0	16	0	1	12
24	win	28.9	0	0	1	300	0	1	1	1	1	2	0	10	3	18	0	1	2
25	win	33.0	0	0	1	300	0	1	0	1	1	2	0	14	3	17	0	1	17
26	win	38.9	0	0	1	300	1	2	0	1	5	0	0	10	5	13	0	0	10
27	win	29.2	0	0	1	300	0	0	0	0	1	3	0	2	2	8	0	1	8
28	win	35.7	0	0	1	300	0	1	1	1	1	2	0	4	7	18	0	1	27
29	win	30.4	0	0	1	300	1	1	0	1	1	2	0	3	0	13	0	1	22
30	win	39.5	0	0	1	300	0	0	0	1	1	6	0	1	0	14	0	2	26
31	win	28.0	0	0	1	300	0	0	0	1	2	2	0	4	1	9	0	2	2
32	win	29.7	0	0	1	300	0	0	0	1	1	1	0	0	3	7	0	1	16
33	win	31.7	0	0	1	300	1	0	0	1	1	0	0	6	0	10	0	0	20
34	win	38.6	0	0	1	300	0	0	0	1	4	7	0	4	1	7	0	2	37
35	win	32.1	0	0	1	300	0	0	0	0	1	5	0	3	0	11	0	3	5
36	win	32.2	0	0	1	300	0	1	1	1	1	2	0	1	0	17	0	1	7
37	win	35.7	0	0	1	300	0	0	0	1	1	2	0	4	0	9	0	2	17
38	win	27.3	0	0	1	300	0	0	0	1	1	2	0	3	0	10	0	1	2
39	win	36.4	0	0	1	300	0	0	0	0	1	2	0	2	0	7	0	1	12
40	win	31.4	0	0	1	300	0	1	1	1	1	2	0	1	2	14	0	1	2
41	win	37.1	0	0	1	300	0	1	0	1	1	2	0	0	0	16	0	1	27
42	win	31.3	0	0	1	300	0	1	0	1	1	5	0	11	0	16	0	2	35
43	win	24.1	0	0	1	300	0	0	0	1	1	0	0	2	0	9	0	0	0
44	win	32.3	0	0	1	300	0	0	0	0	0	0	0	0	1	6	0	0	0
45	win	35.2	0	0	1	300	0	0	0	0	0	0	0	0	1	10	0	0	5
46	win	33.0	0	0	1	300	0	1	0	1	1	2	0	1	0	16	0	1	40
47	timeout	45.0	0	0	1	300	0	0	0	0	0	0	0	3	2	6	0	0	15
48	win	31.2	0	0	1	300	0	2	0	1	1	1	0	8	0	18	0	1	5
49	win	35.9	0	0	1	300	1	0	0	1	1	2	0	13	0	17	0	1	6
50	win	28.0	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	1	17
