seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	stable	cavbatch	cavtech	hero	champ	cav
1	win	42.1	0	0	1	300	0	0	0	1	1	3	0	5	0	6	0	2	2	12	3	2	33	46
2	win	34.7	0	0	1	300	0	0	0	1	1	3	0	1	0	7	0	2	1	10	1	1	13	46
3	win	27.1	0	0	1	300	0	0	0	1	2	0	0	0	0	0	0	0	2	5	2	0	0	20
4	win	25.4	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	5	1	1	5	21
5	win	34.7	0	0	1	300	0	0	0	2	1	2	0	0	0	6	0	2	1	8	2	1	2	36
6	win	27.2	0	0	1	300	0	0	0	1	1	2	0	3	0	6	0	0	1	2	0	1	12	1
7	win	34.7	0	0	1	300	0	0	0	1	1	2	0	1	0	7	0	2	1	6	1	1	7	21
8	win	31.0	0	0	1	300	0	0	0	1	2	2	0	0	0	6	0	0	2	8	1	1	5	21
9	win	35.3	0	0	1	300	0	0	0	1	1	2	0	0	0	0	0	0	1	5	0	2	1	16
10	win	28.0	0	0	1	300	0	0	0	1	1	3	0	2	1	9	0	2	1	3	0	1	3	6
11	timeout	45.0	0	0	1	300	0	0	0	1	1	4	0	1	0	7	0	2	1	18	2	2	4	81
12	win	28.0	0	0	1	300	0	0	0	1	1	2	0	5	0	6	0	2	1	7	1	1	2	26
13	win	39.7	0	0	1	300	0	0	0	1	1	4	0	0	0	12	0	4	1	8	2	1	19	36
14	win	23.9	0	0	1	300	0	0	0	1	2	0	0	1	0	4	0	0	1	5	0	1	0	16
15	win	27.2	0	0	1	300	0	0	0	0	1	2	0	4	0	6	0	1	2	4	2	1	2	11
16	win	27.2	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	1	1	5	0	1	12	16
17	win	32.2	0	0	1	300	0	0	0	1	1	3	0	4	0	10	0	2	1	4	0	1	12	11
18	win	28.4	0	0	1	300	0	0	0	1	1	1	0	0	0	0	0	0	1	2	0	1	1	1
19	win	25.7	0	0	1	300	0	0	0	1	1	1	0	0	2	6	0	0	1	7	0	1	1	26
20	win	29.0	0	0	1	300	0	0	0	1	1	0	0	0	0	2	0	0	1	8	2	2	0	31
21	win	28.0	0	0	1	300	0	0	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	5
22	win	26.3	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	0	1	7	1	1	2	26
23	win	34.0	0	0	1	300	0	0	0	1	2	2	0	2	1	8	0	2	1	8	2	1	2	41
24	win	23.0	0	0	1	300	0	0	0	1	1	0	0	3	0	0	0	0	1	3	0	0	0	15
25	win	23.4	0	0	1	300	0	0	0	1	1	2	0	3	0	6	0	0	1	5	1	1	2	16
26	win	23.1	0	0	1	300	0	0	0	1	1	0	0	0	0	5	0	0	1	4	1	0	0	10
27	win	26.0	0	0	1	300	0	0	0	0	1	0	0	2	0	3	0	0	1	6	2	0	0	20
28	win	33.0	0	0	1	300	0	0	0	1	1	2	0	3	0	1	0	0	1	7	0	1	26	26
29	win	24.3	0	0	1	300	0	0	0	0	2	2	0	3	0	4	0	0	1	4	0	1	7	11
30	win	35.5	0	0	1	300	0	0	0	1	1	2	0	2	3	6	0	1	2	8	2	1	17	36
31	win	23.0	0	0	1	300	0	0	0	1	1	0	0	0	0	0	0	0	1	3	2	0	0	5
32	win	28.7	0	0	1	300	0	0	0	1	2	1	0	0	0	7	0	0	1	8	1	1	1	31
33	win	25.8	0	0	1	300	0	0	0	1	1	2	0	0	0	3	0	0	1	6	1	1	2	21
34	win	31.8	0	0	1	300	0	0	0	1	1	2	0	0	0	4	0	1	1	7	2	1	2	31
35	win	34.0	0	0	1	300	0	0	0	2	1	0	0	1	4	5	0	2	1	12	2	2	0	56
36	win	28.9	0	0	1	300	0	0	0	1	1	2	0	2	0	9	0	2	1	6	1	1	2	31
37	win	28.0	0	0	1	300	0	0	0	1	1	0	0	0	0	0	0	0	1	7	2	0	0	25
38	win	28.0	0	0	1	300	0	0	0	1	1	1	0	2	0	7	0	0	1	5	0	1	25	16
39	win	38.0	0	0	1	300	0	0	0	1	1	2	0	3	1	8	0	2	1	11	2	2	12	51
40	win	27.4	0	0	1	300	0	0	0	1	1	2	0	3	0	6	0	1	1	5	1	1	2	16
41	win	41.4	0	0	1	300	0	0	0	1	1	4	0	8	0	12	0	4	1	12	1	2	9	56
42	win	28.0	0	0	1	300	0	0	0	1	1	3	0	4	0	2	0	0	1	8	1	2	8	31
43	win	22.1	0	0	1	300	0	0	0	1	1	2	0	5	0	3	0	0	1	5	1	1	2	16
44	win	28.8	0	0	1	300	0	0	0	1	1	3	0	5	0	7	0	1	1	6	1	1	12	21
45	win	34.5	0	0	1	300	0	0	0	1	2	1	0	0	0	3	0	2	1	4	1	1	0	16
46	win	26.8	0	0	1	300	0	0	0	1	1	2	0	4	0	11	0	2	1	6	0	1	27	21
47	timeout	45.0	0	0	1	300	0	0	0	1	1	2	0	3	3	14	0	3	1	7	0	1	27	26
48	win	21.5	0	0	1	300	0	0	0	0	1	2	0	2	0	4	0	0	1	3	0	1	7	6
49	win	35.9	0	0	1	300	0	0	0	1	2	4	0	2	0	8	0	3	1	12	2	1	4	51
50	win	27.3	0	0	1	300	0	0	0	1	1	0	0	0	0	4	0	0	1	5	1	0	0	15
51	win	43.7	0	0	1	300	0	0	0	0	1	6	0	0	0	0	0	0	2	14	3	2	56	61
52	timeout	45.0	0	0	1	300	0	0	0	0	1	2	0	0	0	1	0	1	1	11	2	1	2	46
53	win	24.2	0	0	1	300	0	0	0	1	1	0	0	1	0	0	0	0	1	7	0	0	0	25
54	win	29.9	0	0	1	300	0	0	0	1	1	3	0	1	0	5	0	3	1	8	0	1	3	36
55	win	32.4	0	0	1	300	0	0	0	0	1	2	0	1	2	4	0	0	1	5	2	1	1	16
56	win	27.4	0	0	1	300	0	0	0	1	1	1	0	3	0	0	0	0	1	5	0	1	0	21
57	win	26.9	0	0	1	300	0	0	0	1	1	2	0	1	0	5	0	0	1	5	1	1	0	16
58	win	25.4	0	0	1	300	0	0	0	1	1	2	0	0	0	4	0	1	1	7	0	1	2	26
59	win	23.2	0	0	1	300	0	0	0	1	1	1	0	0	0	6	0	0	1	4	2	1	1	11
60	win	30.4	0	0	1	300	0	0	0	1	1	2	0	0	1	5	0	0	1	7	1	1	1	26
61	loss	30.4	0	0	1	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	win	28.0	0	0	1	300	0	0	0	1	1	2	0	0	0	0	0	0	1	6	1	1	2	31
63	win	33.0	0	0	1	300	0	0	0	1	1	2	0	3	0	9	0	2	1	8	0	1	2	31
64	win	29.8	0	0	1	300	0	0	0	1	1	2	0	1	0	8	0	0	2	10	2	2	2	36
65	win	38.1	0	0	1	300	0	0	0	1	1	4	0	4	3	7	0	1	1	10	2	1	4	51
66	win	38.9	0	0	1	300	0	0	0	1	1	2	0	1	2	5	0	2	1	14	2	2	7	66
67	win	25.7	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	7	2	1	0	26
