seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	hero	champ
1	win	40.0	0	0	1	300	0	0	0	0	0	0	0	3	2	6	0	3	0	30
2	win	38.0	0	0	1	300	0	0	0	0	0	0	0	3	2	8	0	4	0	25
3	win	33.6	0	0	1	300	0	2	0	1	1	0	0	5	1	14	0	4	0	15
4	win	34.2	0	0	1	300	0	0	0	1	1	5	0	8	8	19	0	4	2	40
5	win	38.0	0	0	1	300	0	0	0	1	1	2	0	5	4	7	0	3	2	17
6	win	27.1	0	0	1	300	0	0	0	1	1	2	0	2	0	6	0	0	1	17
7	win	34.3	0	0	1	300	0	0	0	0	0	0	0	1	0	11	0	4	0	0
8	win	38.0	0	0	1	300	0	1	0	0	1	2	0	5	0	14	0	4	1	32
9	win	43.0	0	0	1	300	0	1	1	1	1	2	0	6	3	14	0	4	1	42
10	win	33.2	0	0	1	300	0	0	0	1	1	3	0	7	3	8	0	4	1	3
11	win	38.8	0	0	1	300	0	0	0	0	1	0	0	0	2	6	0	3	0	0
12	win	36.2	0	0	1	300	1	1	0	1	1	3	0	8	0	18	0	4	1	27
13	win	37.3	0	0	1	300	0	0	0	0	0	0	0	0	0	8	0	4	0	5
14	win	29.5	0	0	1	300	0	0	0	0	0	0	0	4	0	9	0	4	0	45
15	win	28.2	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	win	34.6	0	0	1	300	0	1	0	0	1	2	0	10	1	16	0	4	1	37
17	win	35.2	0	0	1	300	0	0	0	1	1	0	0	6	0	17	0	4	0	15
18	win	36.2	0	0	1	300	0	1	1	1	1	2	0	4	0	19	0	4	1	2
19	win	29.0	0	0	1	300	0	0	0	1	1	2	0	2	0	11	0	4	1	27
20	win	28.0	0	0	1	300	0	0	0	0	1	1	0	0	0	6	0	1	1	0
21	win	35.9	0	0	1	300	0	1	0	1	1	2	0	15	0	17	0	4	1	2
22	win	27.0	0	0	1	300	0	0	0	0	0	0	0	0	0	10	0	4	0	0
23	win	33.5	0	0	1	300	0	0	0	1	1	1	0	0	0	12	0	3	1	6
24	win	30.6	0	0	1	300	0	1	1	1	1	3	0	13	3	9	0	4	1	8
25	win	28.1	0	0	1	300	0	0	0	0	0	0	0	4	2	11	0	4	0	10
26	win	22.2	0	0	1	300	0	0	0	0	1	2	0	0	2	4	0	0	1	1
27	win	28.0	0	0	1	300	0	0	0	0	0	0	0	4	0	3	0	2	0	0
28	win	34.7	0	0	1	300	0	0	0	1	1	0	0	2	0	0	0	0	1	45
29	win	31.2	0	0	1	300	0	0	0	1	1	4	0	11	0	11	0	4	1	34
30	win	38.7	0	0	1	300	0	0	0	1	1	3	0	1	0	13	0	4	1	18
31	win	23.3	0	0	1	300	0	0	0	0	0	0	0	1	0	0	0	0	0	5
32	win	34.0	0	0	1	300	0	0	0	0	1	6	0	0	2	11	0	3	1	6
33	win	30.3	0	0	1	300	0	0	0	0	1	2	0	0	0	0	0	0	1	0
34	win	32.4	0	0	1	300	0	0	0	0	0	0	0	1	4	7	0	4	0	5
35	win	36.1	0	0	1	300	0	0	0	0	0	0	0	5	2	9	0	4	0	0
36	win	25.5	0	0	1	300	0	0	0	0	0	0	0	0	0	5	0	0	0	0
37	win	28.5	0	0	1	300	0	0	0	0	0	0	0	2	0	11	0	4	0	0
38	win	28.6	0	0	1	300	0	0	0	1	1	2	0	3	2	6	0	0	1	42
39	win	39.7	0	0	1	300	0	0	0	1	1	2	0	4	3	6	0	3	1	12
40	win	31.6	0	0	1	300	0	1	1	1	1	2	0	11	4	13	0	4	1	2
41	win	41.1	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	2	0	10
42	win	28.7	0	0	1	300	0	0	0	1	1	2	0	6	0	9	0	4	1	7
43	win	30.9	0	0	1	300	0	1	1	1	1	2	0	12	2	16	0	4	1	17
44	win	33.0	0	0	1	300	0	0	0	1	1	1	0	6	4	8	0	3	1	1
45	win	43.2	0	0	1	300	0	1	1	1	1	3	0	11	3	15	0	4	2	28
46	win	36.5	0	0	1	300	0	0	0	1	1	2	0	11	2	17	0	4	1	17
47	timeout	45.0	0	0	1	300	0	0	0	1	1	2	0	8	0	12	0	1	2	27
48	win	21.6	0	0	1	300	0	0	0	0	0	0	0	2	0	4	0	1	0	0
49	win	32.0	0	0	1	300	0	0	0	0	0	0	0	7	0	8	0	3	0	15
50	win	35.1	0	0	1	300	0	0	0	1	1	5	0	5	0	15	0	3	2	10
51	win	40.6	0	0	1	300	0	0	0	0	0	0	0	8	2	11	0	4	0	5
52	win	44.0	0	0	1	300	0	0	0	0	0	0	0	1	0	9	0	4	0	15
53	win	29.5	0	0	1	300	0	1	0	1	1	2	0	3	0	13	0	4	1	10
54	win	36.8	0	0	1	300	0	1	0	0	1	0	0	8	0	13	0	4	0	25
55	win	38.0	0	0	1	300	0	1	0	1	1	0	0	7	0	19	0	4	0	5
56	win	32.2	0	0	1	300	0	0	0	0	0	0	0	6	0	6	0	3	0	5
57	win	32.4	0	0	1	300	0	1	0	1	1	0	0	7	0	14	0	4	0	5
58	win	28.5	0	0	1	300	0	0	0	1	1	0	0	0	3	8	0	2	1	0
59	win	38.8	0	0	1	300	0	1	0	1	1	2	0	19	2	31	0	4	1	27
60	win	34.8	0	0	1	300	0	0	0	1	1	2	0	5	4	10	0	1	1	7
61	loss	30.4	0	0	1	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	win	33.0	0	0	1	300	0	1	0	0	1	0	0	6	2	12	0	4	0	10
63	win	32.0	0	0	1	300	0	0	0	0	1	2	0	0	0	6	0	1	1	2
64	win	30.8	0	0	1	300	0	0	0	0	1	0	0	0	0	1	0	1	0	0
65	win	41.9	0	0	1	300	0	1	1	1	1	6	0	6	2	17	0	4	1	15
66	win	37.2	0	0	1	300	0	0	0	0	0	0	0	4	0	7	0	4	0	0
67	win	24.1	0	0	1	300	0	0	0	0	0	0	0	0	0	4	0	0	0	0
68	win	34.1	0	0	1	300	0	1	0	1	1	2	0	3	1	13	0	4	1	15
69	timeout	45.0	0	0	1	300	0	0	0	0	1	2	0	0	0	0	0	1	1	7
70	win	36.4	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	win	25.8	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	0	0
72	win	26.1	0	0	1	300	0	0	0	0	0	0	0	1	2	4	0	0	0	0
73	win	34.3	0	0	1	300	0	0	0	1	1	6	0	9	2	16	0	4	1	21
74	win	30.9	0	0	1	300	0	0	0	0	1	2	0	0	0	7	0	2	1	22
75	win	30.7	0	0	1	300	0	1	1	1	1	2	0	13	0	11	0	4	1	17
76	win	32.2	0	0	1	300	0	0	0	1	1	2	0	2	2	6	0	2	1	37
77	win	35.8	0	0	1	300	0	0	0	1	1	0	0	11	1	19	0	4	0	0
78	win	38.1	0	0	1	300	1	1	0	1	1	7	0	13	0	22	0	4	2	37
79	win	36.1	0	0	1	300	0	0	0	1	1	2	0	5	3	8	0	4	2	27
80	win	27.0	0	0	1	300	0	0	0	0	0	0	0	1	0	5	0	0	0	0
81	win	31.3	0	0	1	300	0	1	0	1	1	4	0	2	4	12	0	4	1	3
82	win	28.6	0	0	1	300	0	0	0	1	1	1	0	7	3	7	0	3	1	30
83	win	29.9	0	0	1	300	0	0	0	1	1	3	0	3	0	12	0	2	1	2
84	win	31.9	0	0	1	300	0	2	0	1	1	2	0	6	0	17	0	4	1	7
85	win	30.7	0	0	1	300	0	0	0	1	1	6	0	0	0	14	0	4	2	16
86	win	42.0	0	0	1	300	0	0	0	1	1	2	0	13	5	18	0	4	1	11
87	timeout	45.0	0	0	1	300	0	0	0	1	1	2	0	3	0	24	0	4	1	20
88	timeout	45.0	0	0	1	300	0	1	0	1	1	7	0	8	3	16	0	4	3	37
89	win	42.3	0	0	1	300	0	0	0	1	1	2	0	8	3	14	0	4	1	17
90	win	36.0	0	0	1	300	0	0	0	1	1	1	0	2	1	12	0	4	1	0
91	win	37.4	0	0	1	300	0	0	0	1	1	5	0	8	1	16	0	3	2	29
92	win	25.2	0	0	1	300	0	0	0	0	0	0	0	0	0	4	0	0	0	0
93	win	29.7	0	0	1	300	0	0	0	1	1	1	0	2	0	7	0	0	1	30
94	win	30.0	0	0	1	300	0	2	0	1	1	2	0	7	2	15	0	4	1	7
95	win	27.4	0	0	1	300	0	0	0	0	0	0	0	0	2	4	0	0	0	0
96	win	29.6	0	0	1	300	0	0	0	1	1	2	0	0	0	4	0	0	1	1
97	win	28.8	0	0	1	300	0	0	0	1	1	2	0	0	0	7	0	4	1	7
