seed	verdict	end_min	js_errors	failed_ai	harness	pop_limit	will	wonderord	poptech	fortress	assembly	carnyx	focus	razed	level	warbuy	corral	tier3	hero	champ
1	win	44.9	0	0	1	300	0	1	0	1	1	1	0	1	0	14	0	4	1	31
2	win	35.1	0	0	1	300	0	0	0	1	1	3	0	2	4	8	0	1	1	18
3	win	33.5	0	0	1	300	0	0	0	0	0	0	0	3	0	4	0	3	0	0
4	win	34.6	0	0	1	300	0	1	0	1	1	2	0	19	2	10	0	4	1	22
5	win	30.3	0	0	1	300	0	0	0	1	1	0	0	0	1	5	0	4	0	0
6	win	36.3	0	0	1	300	0	0	0	1	1	2	0	14	2	17	0	4	1	7
7	win	31.1	0	0	1	300	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8	win	34.1	0	0	1	300	0	0	0	1	1	2	0	1	0	16	0	4	1	22
9	win	29.1	0	0	1	300	0	0	0	0	0	0	0	1	0	8	0	4	0	0
10	win	25.0	0	0	1	300	0	0	0	1	1	2	0	1	0	8	0	1	1	2
11	win	32.1	0	0	1	300	0	0	0	0	0	0	0	0	3	7	0	2	0	0
12	win	36.5	0	0	1	300	0	1	0	1	1	2	0	4	1	17	0	4	1	17
13	win	40.0	0	0	1	300	1	2	0	1	1	3	0	2	1	19	0	4	1	33
14	win	30.9	0	0	1	300	0	0	0	1	1	2	0	3	2	9	0	2	1	32
15	win	27.0	0	0	1	300	0	0	0	0	0	0	0	0	0	8	0	4	0	5
16	win	29.6	0	0	1	300	0	0	0	1	1	2	0	2	1	5	0	2	1	25
17	win	36.2	0	0	1	300	0	1	1	1	1	2	0	12	6	19	0	4	1	22
18	win	36.6	0	0	1	300	0	1	1	1	1	5	0	11	4	16	0	4	1	5
19	win	33.0	0	0	1	300	0	1	0	1	1	2	0	10	2	10	0	4	1	16
20	win	34.4	0	0	1	300	0	0	0	1	1	5	0	8	0	11	0	4	1	9
21	win	33.8	0	0	1	300	0	1	0	1	1	3	0	6	1	16	0	4	1	3
22	win	28.7	0	0	1	300	0	0	0	0	1	0	0	0	0	0	0	0	1	20
23	win	38.0	0	0	1	360	0	1	1	1	1	2	0	15	1	21	0	4	1	12
24	win	28.0	0	0	1	300	0	1	0	1	1	1	0	9	0	13	0	4	1	1
25	win	32.1	0	0	1	300	0	2	0	1	1	2	0	19	2	16	0	4	1	22
26	win	36.9	0	0	1	300	0	0	0	1	5	2	0	7	4	11	0	4	1	7
27	win	29.2	0	0	1	300	0	0	0	0	1	2	0	2	2	7	0	3	1	7
28	win	35.7	0	0	1	300	0	1	1	1	1	2	0	4	7	18	0	4	1	27
29	win	33.0	0	0	1	300	0	1	1	1	1	2	0	6	3	12	0	4	1	27
30	win	38.4	0	0	1	300	0	0	0	1	1	6	0	4	0	14	0	2	1	4
31	win	28.0	0	0	1	300	0	0	0	1	2	2	0	4	1	8	0	1	2	2
32	win	29.8	0	0	1	300	0	0	0	1	1	0	0	0	4	6	0	2	1	15
33	win	34.5	0	0	1	300	0	1	0	1	1	2	0	12	2	13	0	4	1	17
34	win	38.8	0	0	1	300	0	0	0	1	4	6	0	4	1	11	0	4	2	26
35	win	33.0	0	0	1	300	0	0	0	0	1	6	0	5	0	12	0	4	2	6
36	win	32.1	0	0	1	300	0	1	1	1	1	2	0	1	1	15	0	4	1	7
37	win	35.5	0	0	1	300	0	0	0	1	1	2	0	5	0	11	0	1	2	17
38	win	26.2	0	0	1	300	0	0	0	1	1	2	0	3	0	9	0	2	1	2
39	win	35.9	0	0	1	300	0	0	0	0	1	3	0	1	0	3	0	0	1	13
40	win	31.6	0	0	1	300	0	1	1	1	1	2	0	6	1	15	0	4	1	2
41	win	37.2	0	0	1	300	0	0	0	1	1	2	0	1	0	16	0	4	1	12
42	win	31.0	0	0	1	300	0	1	0	1	1	7	0	9	0	15	0	4	2	42
43	win	24.2	0	0	1	300	0	0	0	1	1	0	0	2	0	9	0	2	0	0
44	win	32.3	0	0	1	300	0	0	0	0	0	0	0	0	1	6	0	4	0	0
45	win	34.7	0	0	1	300	0	0	0	1	1	2	0	1	1	11	0	4	1	2
46	win	31.4	0	0	1	300	0	1	0	1	1	0	0	2	0	13	0	4	0	35
47	timeout	45.0	0	0	1	300	0	0	0	0	0	0	0	3	2	6	0	4	0	15
48	win	33.0	0	0	1	300	0	1	1	1	1	2	0	7	0	19	0	4	1	12
49	win	37.0	0	0	1	300	0	0	0	0	0	0	0	9	1	12	0	4	0	5
50	win	28.0	0	0	1	300	0	0	0	1	1	2	0	0	0	9	0	2	1	17
51	win	38.0	0	0	1	300	0	0	0	0	1	2	0	3	0	7	0	1	1	2
52	win	38.9	0	0	1	300	0	0	0	0	0	0	0	5	0	8	0	4	0	0
