seed	verdict	end_min	js_errors	failed_ai	harness	capflip	capwaive	muster	musengage	swat	caplost	capCC	capTotal	ccDestroyed
1	win	41.5	0	0	1	1	0	7	6	0	0	1	0	2
2	win	29.8	0	0	1	0	0	7	7	1	0	0	0	1
3	win	25.7	0	0	1	0	0	2	2	1	0	0	0	2
4	win	24.5	0	0	1	0	0	2	1	0	0	0	0	2
5	win	23.7	0	0	1	0	0	1	2	0	0	0	0	2
6	win	28.0	0	0	1	1	0	5	5	0	0	1	0	1
7	win	27.1	0	0	1	0	0	5	5	2	0	0	0	1
8	win	28.0	0	0	1	0	0	6	7	0	0	0	0	2
9	win	33.9	0	0	1	0	0	10	7	2	0	0	0	2
10	win	26.4	0	0	1	0	0	4	5	1	0	0	0	2
11	win	36.6	0	0	1	0	0	9	9	0	0	0	0	2
12	win	26.9	0	0	1	0	0	7	8	1	0	0	0	2
13	win	30.7	0	0	1	0	0	7	5	2	0	0	0	2
14	win	23.9	0	0	1	0	0	2	1	1	0	0	0	1
15	win	28.0	0	0	1	0	0	2	2	0	0	0	0	2
16	win	28.0	0	0	1	0	0	4	2	0	0	0	0	2
17	win	29.2	0	0	1	0	0	3	2	0	0	0	0	3
18	win	24.8	0	0	1	0	0	8	8	2	0	0	0	2
19	win	26.9	0	0	1	1	0	6	6	2	0	1	0	1
20	win	26.7	0	0	1	0	0	16	10	2	0	0	0	2
21	win	31.0	0	0	1	0	0	3	4	1	0	0	0	1
22	win	23.0	0	0	1	0	0	4	4	0	0	0	0	0
23	win	27.0	0	0	1	0	0	3	2	1	0	0	0	2
24	win	23.0	0	0	1	2	0	1	1	0	0	1	0	0
25	win	22.1	0	0	1	0	0	2	3	1	0	0	0	2
26	win	24.7	0	0	1	0	0	7	7	1	0	0	0	2
27	win	23.8	0	0	1	0	0	6	3	2	0	0	0	1
28	win	26.5	0	0	1	0	0	3	2	0	0	0	0	1
29	win	23.0	0	0	1	0	0	2	1	1	0	0	0	1
30	win	27.2	0	0	1	0	0	5	5	2	0	0	0	2
31	win	26.3	0	0	1	0	0	5	6	0	0	0	0	1
32	win	26.1	0	0	1	0	0	4	4	1	0	0	0	2
33	win	24.4	0	0	1	0	0	3	3	1	0	0	0	2
34	win	30.4	0	0	1	0	0	9	10	2	0	0	0	2
35	win	33.5	0	0	1	1	0	5	4	1	0	1	0	1
36	win	30.6	0	0	1	0	0	8	9	2	0	0	0	2
37	win	26.5	0	0	1	0	0	8	7	1	0	0	0	2
38	win	28.5	0	0	1	0	0	14	7	0	0	0	0	2
39	win	31.7	0	0	1	0	0	3	5	2	0	0	0	3
40	win	26.1	0	0	1	0	0	8	7	1	0	0	0	2
41	timeout	45.0	0	0	1	1	0	12	11	0	0	1	0	1
42	win	28.0	0	0	1	0	0	7	5	0	0	0	0	2
43	win	22.1	0	0	1	0	0	2	3	0	0	0	0	2
44	win	27.1	0	0	1	0	0	7	7	1	0	0	0	2
45	win	29.8	0	0	1	0	0	9	7	1	0	0	0	2
46	win	26.6	0	0	1	1	0	7	4	1	0	1	0	2
47	win	28.9	0	0	1	0	0	5	4	0	0	0	0	1
