seed	result	game_min	js_errors	failed_ai	harness
201	win	23.0	0	0	1
202	win	27.3	0	0	1
203	win	28.0	0	0	1
204	win	29.9	0	0	1
205	win	31.8	0	0	1
206	win	21.3	0	0	1
207	win	25.9	0	0	1
208	win	26.8	0	0	1
209	win	25.1	0	0	1
210	win	28.9	0	0	1
211	win	28.9	0	0	1
212	win	33.3	0	0	1
213	win	27.0	0	0	1
214	win	23.2	0	0	1
215	timeout	45.0	0	0	1
216	win	24.4	0	0	1
217	win	23.0	0	0	1
218	win	28.0	0	0	1
219	win	36.4	0	0	1
220	win	23.1	0	0	1
221	win	35.3	0	0	1
222	win	26.4	0	0	1
223	win	33.1	0	0	1
224	win	24.1	0	0	1
225	win	30.0	0	0	1
226	win	23.7	0	0	1
227	win	24.1	0	0	1
228	win	31.9	0	0	1
229	win	24.3	0	0	1
230	timeout	45.0	0	0	1
231	win	24.1	0	0	1
232	win	38.0	0	0	1
233	win	36.1	0	0	1
234	win	26.8	0	0	1
235	win	23.7	0	0	1
236	win	26.8	0	0	1
237	win	28.0	0	0	1
238	win	27.0	0	0	1
239	win	26.0	0	0	1
240	win	32.1	0	0	1
241	win	36.7	0	0	1
242	win	24.2	0	0	1
243	win	28.6	0	0	1
244	win	44.4	0	0	1
245	win	28.0	0	0	1
246	win	24.3	0	0	1
247	win	34.4	0	0	1
248	win	23.0	0	0	1
249	win	28.7	0	0	1
250	win	20.0	0	0	1
251	win	26.0	0	0	1
252	win	22.0	0	0	1
253	win	21.4	0	0	1
254	win	28.0	0	0	1
255	win	23.0	0	0	1
256	win	28.8	0	0	1
257	win	30.0	0	0	1
258	win	26.3	0	0	1
259	win	31.6	0	0	1
260	win	24.2	0	0	1
261	win	21.4	0	0	1
262	win	26.9	0	0	1
263	timeout	45.0	0	0	1
264	win	35.2	0	0	1
265	win	28.0	0	0	1
266	win	21.1	0	0	1
267	timeout	45.0	0	0	1
268	win	22.2	0	0	1
269	win	30.7	0	0	1
270	win	30.1	0	0	1
271	win	25.0	0	0	1
272	win	38.0	0	0	1
273	win	31.7	0	0	1
274	win	31.9	0	0	1
275	win	29.0	0	0	1
276	win	28.8	0	0	1
277	win	35.1	0	0	1
278	win	24.6	0	0	1
279	loss	31.0	0	0	1
280	win	28.0	0	0	1
281	win	25.8	0	0	1
282	win	25.7	0	0	1
283	win	28.3	0	0	1
284	win	26.6	0	0	1
285	win	44.5	0	0	1
286	win	37.1	0	0	1
287	win	34.5	0	0	1
288	win	26.8	0	0	1
289	win	28.1	0	0	1
290	win	29.0	0	0	1
291	win	34.5	0	0	1
292	win	36.9	0	0	1
293	win	30.7	0	0	1
294	win	28.0	0	0	1
295	win	36.2	0	0	1
296	win	34.2	0	0	1
297	win	21.8	0	0	1
298	win	38.2	0	0	1
299	win	26.2	0	0	1
300	win	30.3	0	0	1
301	win	33.0	0	0	1
302	win	29.5	0	0	1
303	win	27.3	0	0	1
304	win	30.3	0	0	1
305	win	29.7	0	0	1
306	win	28.6	0	0	1
307	win	23.2	0	0	1
308	win	30.7	0	0	1
309	win	28.0	0	0	1
310	win	28.3	0	0	1
311	win	38.2	0	0	1
312	win	26.1	0	0	1
313	win	25.6	0	0	1
314	win	38.6	0	0	1
315	win	24.7	0	0	1
316	loss	35.0	0	0	1
317	win	27.4	0	0	1
318	win	26.1	0	0	1
319	win	29.9	0	0	1
320	timeout	45.0	0	0	1
321	win	33.0	0	0	1
