seed	result	game_min	js_errors	failed_ai	harness
1	win	39.4	0	0	1
2	timeout	45.0	0	0	1
3	win	25.5	0	0	1
4	win	24.9	0	0	1
5	win	24.3	0	0	1
6	win	28.0	0	0	1
7	win	26.6	0	0	1
8	win	28.0	0	0	1
9	win	36.0	0	0	1
10	win	24.3	0	0	1
11	win	36.4	0	0	1
12	win	28.1	0	0	1
13	win	38.2	0	0	1
14	win	23.1	0	0	1
15	win	29.5	0	0	1
16	win	28.0	0	0	1
17	win	25.6	0	0	1
18	win	25.1	0	0	1
19	win	26.3	0	0	1
20	win	28.0	0	0	1
21	win	33.1	0	0	1
22	win	23.0	0	0	1
23	win	26.5	0	0	1
24	win	21.5	0	0	1
25	win	22.0	0	0	1
26	win	24.0	0	0	1
27	win	23.1	0	0	1
28	win	24.1	0	0	1
29	win	23.8	0	0	1
30	win	27.0	0	0	1
31	win	25.3	0	0	1
32	win	25.1	0	0	1
33	win	24.2	0	0	1
34	win	29.9	0	0	1
35	win	35.3	0	0	1
36	win	25.7	0	0	1
37	win	26.1	0	0	1
38	win	29.8	0	0	1
39	win	35.0	0	0	1
40	win	25.0	0	0	1
41	timeout	45.0	0	0	1
42	win	29.1	0	0	1
43	win	20.3	0	0	1
44	win	26.7	0	0	1
45	win	30.4	0	0	1
46	win	26.6	0	0	1
47	win	29.0	0	0	1
48	win	24.5	0	0	1
49	win	35.9	0	0	1
50	win	24.1	0	0	1
51	win	34.1	0	0	1
52	win	41.4	0	0	1
53	win	24.0	0	0	1
54	win	34.8	0	0	1
55	win	40.1	0	0	1
56	win	25.2	0	0	1
57	win	25.9	0	0	1
58	win	23.0	0	0	1
59	win	22.0	0	0	1
60	win	31.7	0	0	1
61	win	29.2	0	0	1
62	win	26.6	0	0	1
63	win	43.0	0	0	1
64	win	29.1	0	0	1
65	win	37.4	0	0	1
66	timeout	45.0	0	0	1
67	win	23.0	0	0	1
68	win	29.4	0	0	1
69	win	39.3	0	0	1
70	win	41.1	0	0	1
71	win	26.6	0	0	1
72	win	28.0	0	0	1
73	win	23.5	0	0	1
74	win	27.1	0	0	1
75	win	24.3	0	0	1
76	timeout	45.0	0	0	1
77	win	30.0	0	0	1
78	win	22.2	0	0	1
79	win	27.3	0	0	1
80	win	34.8	0	0	1
81	win	23.0	0	0	1
82	win	23.9	0	0	1
83	win	30.1	0	0	1
84	win	23.0	0	0	1
85	win	23.8	0	0	1
86	win	25.3	0	0	1
87	win	28.0	0	0	1
88	win	28.0	0	0	1
89	win	35.7	0	0	1
90	win	25.1	0	0	1
91	win	27.0	0	0	1
92	win	28.0	0	0	1
93	win	26.0	0	0	1
94	win	23.9	0	0	1
95	win	28.0	0	0	1
96	win	29.5	0	0	1
97	win	26.0	0	0	1
98	win	24.5	0	0	1
99	win	32.0	0	0	1
100	win	23.8	0	0	1
101	win	24.1	0	0	1
102	win	38.7	0	0	1
103	win	30.9	0	0	1
104	win	21.3	0	0	1
105	win	36.3	0	0	1
106	win	31.5	0	0	1
107	win	25.4	0	0	1
108	win	28.0	0	0	1
109	win	23.2	0	0	1
110	win	35.5	0	0	1
111	win	37.2	0	0	1
112	win	24.3	0	0	1
113	win	43.3	0	0	1
114	win	24.5	0	0	1
115	win	28.2	0	0	1
116	win	28.0	0	0	1
117	win	25.7	0	0	1
118	win	23.1	0	0	1
119	win	24.3	0	0	1
120	win	28.8	0	0	1
121	win	28.8	0	0	1
122	win	26.7	0	0	1
123	win	28.6	0	0	1
124	win	23.0	0	0	1
125	win	31.4	0	0	1
126	win	24.7	0	0	1
127	win	31.3	0	0	1
128	win	25.5	0	0	1
129	win	29.1	0	0	1
130	win	30.6	0	0	1
131	win	21.1	0	0	1
132	win	26.8	0	0	1
133	win	23.9	0	0	1
134	win	40.1	0	0	1
135	win	27.1	0	0	1
136	win	21.4	0	0	1
137	win	30.9	0	0	1
138	win	25.8	0	0	1
139	win	34.2	0	0	1
140	timeout	45.0	0	0	1
141	win	32.3	0	0	1
142	win	28.2	0	0	1
143	win	33.0	0	0	1
144	win	31.7	0	0	1
145	win	26.0	0	0	1
146	win	29.7	0	0	1
147	win	22.1	0	0	1
148	win	29.3	0	0	1
149	win	21.6	0	0	1
150	win	25.9	0	0	1
151	win	36.0	0	0	1
152	timeout	45.0	0	0	1
153	win	28.6	0	0	1
154	win	25.5	0	0	1
155	win	25.1	0	0	1
156	win	25.4	0	0	1
157	win	23.0	0	0	1
158	win	28.0	0	0	1
159	win	26.7	0	0	1
