seed	result	game_min	js_errors	failed_ai	harness
206	win	21.4	0	0	1
215	timeout	45.0	0	0	1
221	win	30.8	0	0	1
230	timeout	45.0	0	0	1
234	win	25.5	0	0	1
243	win	26.5	0	0	1
244	win	44.4	0	0	1
245	win	28.0	0	0	1
246	win	24.0	0	0	1
262	win	24.6	0	0	1
263	timeout	45.0	0	0	1
264	win	38.0	0	0	1
265	win	27.4	0	0	1
266	win	21.9	0	0	1
267	timeout	45.0	0	0	1
268	win	20.7	0	0	1
279	win	39.4	0	0	1
316	timeout	45.0	0	0	1
320	win	43.0	0	0	1
327	win	29.1	0	0	1
340	win	39.2	0	0	1
352	win	30.0	0	0	1
353	win	33.0	0	0	1
356	timeout	45.0	0	0	1
357	win	28.6	0	0	1
361	win	28.5	0	0	1
