seed	batch	job	kind
41	e8daca38f39aaca051f91d20	01a1da6e38d0b9015f5905d7946faf59	bad
152	813f0c83c5345d9810c55314	05859dfe1c4f914c8012b5ab11298468	bad
170	0be1684fed771fa7eafbc5f4	f0c59b6116061750a984b2f407f79d60	bad
215	d9f036431cab1b90cddfd0e9	16afa04d6491628a5935c4307bdd332d	bad
76	267f24b8300f23d7c9afca95	2a99f910554f09f24d7e40d70d84305d	canary
140	0a7374fc80f77c8d48c8c123	e9b27d43c8651939fd90b0e587df74d4	canary
52	11c8b1aafb7ad78826d1ba0d	2eb65d8c804f0a977d6f23d49ab9eceb	regressed-win
70	77513813935220eaa1f6be2d	7f0ecf03ee560712e908d7f173f3b09f	regressed-win
320	8fbafb795c75c4f375833dff	bb37916326256233848b6863058fe6b5	regressed-win
66	0efe6f35e61d41aab08c8df2	75eb7f6927d6848cccc4d05ea50d647b	bad-recheck
162	53ffcae7a9c7591450e1d0d6	308d55497463ba15ec87acc410936d92	bad-recheck
172	81bab0b1b5b9bf233fde5bf8	588e8a3e5766423ff1ea442af5147d39	bad-recheck
230	a7c87aaca9a7fd3a456ccf0c	4deb4df0a12ecb7152eb1a9fde52d28b	bad-recheck
267	a120f78324ed3856c8a740fa	3429de254f8545f746f06eec0c160480	bad-recheck
285	46e9cedba6bcf45b1afcef88	ece73df768a6423adfd36b27b89d480c	bad-recheck
316	dc5ca9ed3b39c6e56025d79d	8450e0b8f656f1eb5282953d6b25613e	bad-recheck
2	2975ce9b5d8ec6152a89f975	abc3d7a87f76ded42fbbc4e9b4840a7d	canary-recheck
263	4d45ff85cbf6ba8393a68bfa	e69200b27d465b9c253508cf635607ac	canary-recheck
356	238505fa70c9f67357738fb4	c5edf597ec02b749abe9d1c58f713a13	canary-recheck
373	4c26db3376f0067ae3784bd8	dfe9b37afcb32a0101a5d5793088cfc6	canary-recheck
