seed	batch	job	kind
140	91d87b73d9d72b4eb62279d1	b4f2816b7aa508e72b84ff1172f6efea	target
215	71409855736cfce655a1f208	394c3992a8ef9ae1ad116124c7b7d81d	target
66	563592fec713ddf4459a3d32	52dad279cafc6a050c39fa2648de924f	won
152	a84f9b8513e8e9797a28cc16	2b99c9b46040481ecefad8bbd3a1c15a	won
172	016f774ee879d3083fa0086f	d0fbb77ae425a2e812726cbf44a74117	won
2	21813d0aa3dc856135acd3fe	180ec5912dc807b7ea245e9290f84a6c	won
76	a7501b26c931fda639cf610d	8631d5cfe8f84a1bcbd3be611f2c275b	won
170	505db3ad58106eafc73589bd	74617ed11215c39fc6939103e6e77460	borderline
263	fedc673267df23620c7acc54	25df293aede40b389d723ca589d82721	borderline
320	2449b7199869712af42c9361	ceae7ced11a12ecd647c318260cb35dd	borderline
