seed	result	game_min	js_errors	kind
27	win	24.0	0	won-mid
43	win	21.2	0	won-fast
52	defeat	31.9	0	won-slow
63	win	28.7	0	won-slow
70	win	37.3	0	won-slow
131	win	23.7	0	won-fast
174	win	21.7	0	won-fast
225	win	28.0	0	won-mid
249	win	33.3	0	won-mid
250	win	19.8	0	won-fast
259	win	29.0	0	won-mid
268	win	22.2	0	won-fast
284	win	23.5	0	won-mid
293	win	25.0	0	won-mid
297	win	22.7	0	won-fast
307	win	22.7	0	won-mid
320	timeout	45.0	0	won-slow
340	win	33.6	0	won-race
352	win	44.3	0	won-race
372	win	29.1	0	won-slow
387	win	31.4	0	won-slow
