seed	result	game_min	js_errors	kind
2	win	29.3	0	timeout-seed
41	win	44.3	0	timeout-seed
66	win	33.4	0	timeout-seed
76	win	45	0	timeout-seed
152	win	34	0	timeout-seed
172	win	33.6	0	timeout-seed
230	win	37	0	timeout-seed
263	timeout	45	0	timeout-seed
267	win	44.6	0	timeout-seed
285	win	34	0	timeout-seed
316	win	36.3	0	timeout-seed
373	win	44.5	0	timeout-seed
27	win	23.4	0	val1
43	win	20.9	0	val1
52	timeout	45	0	val1
63	win	37.8	0	val1
70	timeout	45	0	val1
131	win	21.3	0	val1
174	win	21	0	val1
225	win	34	0	val1
249	win	29.1	0	val1
250	win	20.8	0	val1
259	win	41.7	0	val1
268	win	20.8	0	val1
284	win	23.4	0	val1
293	win	28.1	0	val1
297	win	21.3	0	val1
307	win	23.5	0	val1
320	timeout	45	0	val1
340	win	41.9	0	val1
352	defeat	39.8	0	val1
387	win	31.3	0	val1
