seed	result	game_min	js_errors	kind
250	win	21.3	0	won-fast
43	win	24.9	0	won-fast
268	win	24.1	0	won-fast
297	win	23.3	0	won-fast
174	win	26.9	0	won-fast
131	win	29.7	0	won-fast
27	win	22.7	0	won-mid
284	win	27.5	0	won-mid
307	win	25.8	0	won-mid
249	win	31.2	0	won-mid
225	win	34.6	0	won-mid
293	win	28.6	0	won-mid
259	defeat	31.1	0	won-mid
70	win	43.2	0	won-slow
52	win	33.9	0	won-slow
387	win	37.8	0	won-slow
320	defeat	38.7	0	won-slow
372	win	28.9	0	won-slow
63	win	27.7	0	won-slow
340	timeout	45	0	won-race
352	win	28.1	0	won-race
