seed	result	game_min	wood10	wood_total	js_errors	failed_ai	harness
0	win	31.0	5343	38417	0	0	1
1	timeout	45.0	5148	36034	0	0	1
2	win	31.5	5630	30868	0	0	1
3	win	31.1	6286	36599	0	0	1
4	win	30.5	5645	39470	0	0	1
5	win	26.0	4602	34543	0	0	1
6	win	24.1	5574	34330	0	0	1
7	loss	41.2	5472	30534	0	0	1
8	win	28.0	4640	33108	0	0	1
9	win	27.0	5017	36711	0	0	1
10	win	39.3	5598	37160	0	0	1
11	win	27.1	5876	34507	0	0	1
12	win	23.3	5374	26772	0	0	1
13	win	23.0	5672	28226	0	0	1
14	win	25.3	6008	38349	0	0	1
15	win	23.7	6482	31863	0	0	1
16	win	26.2	5746	33418	0	0	1
17	win	33.0	5738	36067	0	0	1
18	win	28.8	5831	40568	0	0	1
19	win	25.6	5547	32350	0	0	1
20	timeout	45.0	6173	36934	0	0	1
21	win	22.0	5803	32069	0	0	1
22	win	26.7	5717	35852	0	0	1
23	win	35.1	5851	44074	0	0	1
24	win	23.0	5550	33056	0	0	1
25	win	22.1	5939	25784	0	0	1
26	win	27.0	6340	36845	0	0	1
27	win	24.1	6704	33240	0	0	1
28	win	23.1	5576	32217	0	0	1
29	win	33.0	5432	33938	0	0	1
30	win	29.2	6600	29604	0	0	1
31	win	27.0	6363	31627	0	0	1
32	win	25.8	5749	31104	0	0	1
33	win	24.8	5443	33420	0	0	1
34	win	29.5	5278	40864	0	0	1
35	win	29.1	4897	34578	0	0	1
36	win	29.1	5825	34374	0	0	1
37	win	29.7	5324	39790	0	0	1
38	win	29.0	6682	36002	0	0	1
39	win	38.5	5678	48649	0	0	1
40	win	26.1	5612	34998	0	0	1
41	win	28.0	5333	30130	0	0	1
42	win	22.0	6204	29409	0	0	1
43	win	25.6	6254	40285	0	0	1
44	win	28.3	5849	29619	0	0	1
45	win	29.5	5511	33981	0	0	1
46	win	28.7	5181	47027	0	0	1
47	win	39.4	4495	63536	0	0	1
48	win	25.6	6440	30297	0	0	1
49	win	28.0	5380	34628	0	0	1
50	win	28.4	5117	33671	0	0	1
51	win	30.7	5833	37915	0	0	1
52	timeout	45.0	5220	38543	0	0	1
53	win	30.0	5900	34516	0	0	1
54	win	28.0	5676	38813	0	0	1
55	win	41.0	5385	41365	0	0	1
56	win	33.0	6020	48484	0	0	1
57	win	34.1	5739	39007	0	0	1
58	win	22.5	6465	31360	0	0	1
59	win	25.9	5282	38996	0	0	1
60	win	32.2	5543	30934	0	0	1
61	win	27.2	5766	30950	0	0	1
62	win	23.6	6184	34873	0	0	1
63	win	25.2	5467	32933	0	0	1
64	win	23.9	5636	30128	0	0	1
65	win	24.5	5370	32414	0	0	1
66	win	33.5	4306	42939	0	0	1
67	win	24.8	5627	34474	0	0	1
68	win	21.2	6736	28535	0	0	1
69	win	24.1	5415	30630	0	0	1
70	win	30.7	4051	32675	0	0	1
71	win	26.1	5293	32998	0	0	1
72	win	40.4	5301	47816	0	0	1
73	win	29.9	5857	40363	0	0	1
74	win	26.9	4862	31302	0	0	1
75	win	23.0	5164	30788	0	0	1
76	win	28.1	5003	28485	0	0	1
77	win	24.6	5970	33423	0	0	1
78	win	26.8	6094	40261	0	0	1
79	win	25.4	5754	36110	0	0	1
80	win	34.2	5376	41346	0	0	1
81	win	34.1	6112	39759	0	0	1
82	win	29.1	5116	32292	0	0	1
83	win	28.0	5281	32859	0	0	1
84	win	24.0	5509	33541	0	0	1
85	win	26.4	5060	36208	0	0	1
86	win	24.5	6030	31441	0	0	1
87	win	29.7	4620	37826	0	0	1
88	win	29.0	5443	36319	0	0	1
89	win	28.0	5271	30731	0	0	1
90	win	26.1	5709	37741	0	0	1
91	win	24.0	5831	32289	0	0	1
92	win	26.6	5040	32919	0	0	1
93	win	23.0	6377	31704	0	0	1
94	win	25.9	5730	36424	0	0	1
95	win	38.3	6085	53255	0	0	1
96	win	23.0	5536	36709	0	0	1
97	win	24.8	6069	32769	0	0	1
98	win	28.0	6166	45728	0	0	1
99	win	22.2	6755	30295	0	0	1
100	win	28.0	5310	33915	0	0	1
101	win	23.0	6157	34394	0	0	1
102	win	31.4	5168	46954	0	0	1
103	win	26.0	5736	36247	0	0	1
104	win	24.4	5506	34189	0	0	1
105	timeout	45.0	4876	40920	0	0	1
106	win	29.3	5326	38889	0	0	1
107	win	26.3	6295	30376	0	0	1
108	win	36.8	4821	54724	0	0	1
109	win	25.9	6095	39719	0	0	1
110	win	25.3	5740	32915	0	0	1
111	win	30.7	5232	31785	0	0	1
112	win	41.7	5407	51640	0	0	1
113	win	33.0	4475	40928	0	0	1
114	win	24.7	5291	32711	0	0	1
115	win	28.8	4963	31562	0	0	1
116	win	24.6	5721	28631	0	0	1
117	win	23.2	6009	29236	0	0	1
118	win	28.4	5249	32667	0	0	1
119	win	36.3	5914	47711	0	0	1
120	win	29.4	4907	29832	0	0	1
121	win	35.3	4591	43851	0	0	1
122	win	25.9	5917	41841	0	0	1
123	win	31.2	4952	33291	0	0	1
124	win	23.7	5230	31755	0	0	1
125	win	24.7	5417	31613	0	0	1
126	win	27.0	5140	38551	0	0	1
127	win	27.1	5310	36381	0	0	1
128	win	23.0	5708	32379	0	0	1
129	win	23.2	6568	32707	0	0	1
130	win	29.2	5577	35696	0	0	1
131	win	24.9	6165	32328	0	0	1
132	win	23.7	5670	33507	0	0	1
133	win	24.4	5677	35738	0	0	1
134	loss	41.6	4857	23757	0	0	1
135	win	24.9	5210	30761	0	0	1
136	win	26.3	6742	35046	0	0	1
137	win	30.2	5168	34232	0	0	1
138	win	24.6	5676	32791	0	0	1
139	win	25.2	5633	29620	0	0	1
140	timeout	45.0	5134	24713	0	0	1
141	win	39.1	5143	50446	0	0	1
142	win	27.4	5418	32185	0	0	1
143	win	29.5	5674	35907	0	0	1
144	win	30.0	6098	35656	0	0	1
145	win	39.1	4810	37426	0	0	1
146	win	25.0	5521	28449	0	0	1
147	win	24.0	5677	31739	0	0	1
148	win	44.9	5494	40348	0	0	1
149	win	26.8	6025	37998	0	0	1
150	win	24.6	5772	28850	0	0	1
151	win	40.0	4884	40977	0	0	1
152	win	30.5	5866	36484	0	0	1
153	win	29.5	5685	34040	0	0	1
154	win	31.8	5029	34865	0	0	1
155	win	26.7	5145	32200	0	0	1
156	win	23.0	6030	30984	0	0	1
157	win	21.1	6348	31933	0	0	1
158	win	26.9	5714	36511	0	0	1
159	win	33.2	5410	30292	0	0	1
160	win	26.2	5321	34186	0	0	1
161	win	24.6	6439	39878	0	0	1
162	win	24.4	5544	33057	0	0	1
163	win	30.2	6256	43647	0	0	1
164	win	28.6	6018	39960	0	0	1
165	win	23.8	6501	31730	0	0	1
166	win	28.2	5547	39392	0	0	1
167	win	23.6	6608	29171	0	0	1
168	win	28.1	5461	33418	0	0	1
169	win	28.4	4721	33327	0	0	1
170	win	33.4	5657	31230	0	0	1
171	timeout	45.0	5743	40897	0	0	1
172	win	24.0	6223	31672	0	0	1
173	win	33.0	4632	44355	0	0	1
174	win	23.0	6160	31667	0	0	1
175	win	21.4	6498	28931	0	0	1
176	win	30.4	5695	37160	0	0	1
177	win	24.8	6060	33513	0	0	1
178	win	25.3	4987	31696	0	0	1
179	win	30.5	5693	35020	0	0	1
180	win	27.3	5609	34188	0	0	1
181	win	23.0	6912	33858	0	0	1
182	win	25.6	6044	29308	0	0	1
183	win	24.9	6375	32691	0	0	1
184	win	38.0	5414	43722	0	0	1
185	win	24.2	6314	32757	0	0	1
186	win	24.5	5893	33719	0	0	1
187	win	24.5	5931	33400	0	0	1
188	win	25.8	5744	34575	0	0	1
189	win	28.6	6311	39602	0	0	1
190	win	31.9	5441	37990	0	0	1
191	win	29.1	5745	41020	0	0	1
192	win	26.2	5218	33955	0	0	1
193	win	29.2	5117	34837	0	0	1
194	win	35.1	4989	36934	0	0	1
195	win	23.7	6249	32158	0	0	1
196	win	30.7	5301	36232	0	0	1
